price,year,condition,odometer,car_age
27990,2012.0,2,68696.0,9.0
34590,2016.0,2,29499.0,5.0
29990,2016.0,2,17302.0,5.0
37990,2016.0,2,9704.0,5.0
27990,2018.0,2,37332.0,3.0
29990,2014.0,2,26129.0,7.0
29590,2017.0,2,70760.0,4.0
29990,2012.0,2,43182.0,9.0
33990,2017.0,2,17033.0,4.0
36590,2019.0,2,14222.0,2.0
39590,2018.0,2,21893.0,3.0
28590,2018.0,2,20736.0,3.0
27590,2012.0,2,52172.0,9.0
33590,2017.0,2,37919.0,4.0
31590,2017.0,2,35391.0,4.0
30990,2017.0,2,43039.0,4.0
20590,2018.0,2,71021.0,3.0
26990,2017.0,2,41335.0,4.0
4000,2002.0,3,155000.0,19.0
2500,1995.0,1,110661.0,26.0
9000,2008.0,3,56700.0,13.0
39590,2020.0,2,1419.0,1.0
8950,2011.0,3,164000.0,10.0
4000,1972.0,1,88100.0,49.0
98900,2001.0,2,20187.0,20.0
9400,2008.0,2,129473.0,13.0
7300,2007.0,2,181000.0,14.0
72900,2021.0,2,19129.0,0.0
28900,2017.0,2,94601.0,4.0
17000,2019.0,2,14898.0,2.0
5950,2007.0,2,72000.0,14.0
39990,2019.0,2,8373.0,2.0
30990,2017.0,2,31095.0,4.0
10500,2008.0,2,122904.0,13.0
9500,2014.0,2,136128.0,7.0
12900,2014.0,2,120211.0,7.0
6950,2011.0,3,116000.0,10.0
39590,2017.0,2,10496.0,4.0
5500,2010.0,2,114988.0,11.0
10900,2010.0,2,97804.0,11.0
8900,2014.0,2,84778.0,7.0
36990,2016.0,2,23190.0,5.0
16900,2015.0,2,82999.0,6.0
19900,2011.0,2,133257.0,10.0
19900,2019.0,2,21872.0,2.0
18900,2019.0,2,47421.0,2.0
22000,2013.0,2,119550.0,8.0
34900,2020.0,3,15400.0,1.0
6900,2001.0,3,144445.0,20.0
34990,2017.0,2,31728.0,4.0
33990,2018.0,2,23720.0,3.0
33990,2017.0,2,9788.0,4.0
37900,2020.0,4,5622.0,1.0
31900,2019.0,4,29497.0,2.0
11500,2013.0,3,228699.0,8.0
32900,2019.0,4,6735.0,2.0
31500,2019.0,4,24585.0,2.0
29900,2019.0,4,23004.0,2.0
9500,2014.0,3,219581.0,7.0
17200,2014.0,3,45026.0,7.0
23900,2017.0,3,108482.0,4.0
22300,2017.0,3,113617.0,4.0
6900,2010.0,2,165255.0,11.0
16900,2015.0,2,97563.0,6.0
24990,2007.0,2,46463.0,14.0
